Carpark Name,Carpark Address,Mon-Fri before 5/6pm,Mon-Fri after 5/6pm,Sat,Sun/Public Holiday
NTUC Income Centre,"75 Bras Basah Road, S(189557)",\$1.10/30min from 7am to 5pm,"\$2.14/entry from 5pm to 11pm, Car Park closed after 11pm daily",Charges same as weekdays,"\$2.14/entry from 7am to 11pm, Car Park closed after 11pm daily"
NTUC Income Tampines Point,"2 Tampines Central 6, S(529483)","\$1.50/hr for 1st hr, \$0.75 for next subsequent 30min from 6am to 6pm",\$2.50/entry from 6pm to 6am the following day,Charges same as weekdays,\$2.50/entry from 6am to 6am the following day
NTUC Prinsep House,"30 Prinsep Street, S(188647)",\$1.25/30min from 7am to 5.59pm,"\$2.80/entry from 6pm to 11.59pm, \$5.00/entry from 12midnight to 6.59am the following day",Charges same as weekdays,Charges same as weekdays
NUS Car Park 3B - Kent Vale,Kent Ridge Crescent,Carpark closed,Carpark closed,Carpark closed,Carpark closed
NUS Car Park 2A - In front of Block E3A,Engineering Drive 1,"*\$0.0214/min from 8.30am to 7.30pm, maximum charge of \$1.284 for vehicles entering from 6pm to 7.30pm",*Free parking from 7.31pm to 8.29am the following day,"*\$0.0214/min up to a maximum charge of \$2.568 from 8.30am to 5pm, free parking from 5.01pm to 8.29am the following day",*Free parking whole day from 8.30am to 8.29am the following day
Costa Sands Resort (Downtown East),"1 Pasir Ris Close, S(519599)","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$12.50/day from Mon to Thurs (except School/Public Holidays and Eve of Public Holidays)","\$2.40/entry from Mon to Thurs, \$3.40/entry on Fri to Sun and eve of public holidays from 5pm to 12midnight","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays","\$0.024/min from 12.01am to 4.59pm, maximum charge of \$16/day from Fri to Sun, eve of public holidays and gazette School Holidays"
Plaza Singapura,"68 Orchard Road, S(238839)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day on Mon to Fri","\$2.57/entry from 6pm to 11.59pm from Mon to Thur, \$2.57/entry from 6pm to 2.59am the following day on Fri and Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm"
PARKROYAL on Beach Road,"7500A Beach Road, S(199591)","\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 5pm",\$2.50/entry from 5pm to 7am the following day,"\$2.50 for 1st hr, \$3.00 for next subsequent hr from 7am to 1pm, \$2.50/entry from 1pm to 7am the following day",\$2.50/entry from 7am to 7am the following day
One Raffles Place,"1 Raffles Place, S(048616)",\$2.62/30min from 7am to 5pm,\$3.53/entry from 5pm to 7am the following day,\$3.75/entry from 7am to 7am the following day,\$2.35/entry from 7am to 7am the following day
East Coast Park (Carpark E1),East Coast Park Service Road,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates
Pacific Plaza,"9 Scotts Road, S(228210)",\$1.50/30min from 8am to 6pm,"\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 6pm to 8am the following day",Charges same as weekdays,"\$3.00 for 1st 2hr, \$1.00 for next subsequent 30min from 8am to 8am the following day"
Palais Renaissance,"390 Orchard Road, S(238871)","\$3.85 for 1st hr, \$1.95 for subsequent 30min from 7.01am to 5pm","\$4.60/entry from 5.01pm to 1am the following day, \$1.80/hr from 1.01am to 7am",Charges same as Weekdays,"\$4.60/4hr from 7.01am to 1am the following day, \$1.80/hr from 1.01am to 7am"
Pan Pacific Hotel,"7 Raffles Boulevard, S(039595)","\$2.20 for 1st 2hr, \$1.10/30min from 7am to 5pm from Mon to Thurs","\$2.20/entry from 5pm to 2am the following day, \$1.10/30min from 2am to 7am from Mon to Thurs","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun","\$2.40 for 1st 2hr, \$1.20/hr for next subsequent 2hr, \$1.40/30min after the 4th hr from 7am to 2am the following day, \$1.10/30min from 2am to 7am from Fri to Sun"
PoMo,"1 Selegie Road, S(188306)","\$3.00 for 1st hr, \$1.50 for next subsequent 30min from 7am to 5.59pm",\$3.50/entry from 6pm to 6.59am the following day,Charges same as weekdays,\$3.50/entry from 7am to 6.59am the following day
Paragon,"290 Orchard Road, S(238859)","\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 6.59pm",\$4.50/entry from 7pm to 2.59am the following day,Charges same as weekdays,"\$2.90 for 1st hr, \$1.50 for next subsequent 30min from 3am to 5.59pm, \$4.50/entry from 6pm to 2.59am the following day"
Paramount Hotel,"25 Marine Parade, S(449536)",\$1.07/hr from 8am to 5pm,\$1.07/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Paramount Shopping Centre,"30 East Coast Road, S(428751)",\$0.50/30min,\$2.00/entry,\$2.00/entry,\$2.00/entry
Bugis Junction,"200 Victoria Street, S(180021)","\$1.60 for 1st hr, \$0.40 for next subsequent 10min from 8am to 5pm from Mon to Thur","\$2.70/entry from 5pm to 8am the following day from Mon to Thurs, \$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 5pm to 8am the following day on Fri","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day","\$2.70 for 1st 2hr, \$0.27 for next subsequent 10min from 8am to 8am the following day"
Park Mall,"9 Penang Road, S(238459)",Carpark closed,Carpark closed,Carpark closed,Carpark closed
Parklane,"35 Selegie Road, S(188307)","\$3.20 for 1st hr, \$1.60 for next subsequent 30min from 7am to 7pm",\$3.75/entry from 7pm to 12midnight. Additional Overnight Charge at \$3.75/entry from 12midnight to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 12midnight
Parkview Square,"600 North Bridge Road, S(188778)","\$2.14/hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$5.35/4hr from 5pm to 7am the following day,Charges same as weekdays but \$5.35/4hr from 1pm to 7am the following day,\$5.35/4hr from 7am to 7am the following day
Parkway Parade,"80 Marine Parade Road, S(449269)","\$1.00 for 1st hr, \$0.40 for subsequent 30min from 6am to 6pm",\$1.50/entry from 6pm to 2am the following day,"\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 6am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day","\$0.50 for 1st hr, \$0.40 for next subsequent 15min from 6am to 10am, \$1.30 for 1st hr, \$0.40 subsequent 15min from 10am to 6pm, \$2.10/entry from 6pm to 2am the following day"
New Parliament House,"1 Parliament Place, S(178880)",\$1.13/30min from 8.01am to 6pm,\$2.06/entry from 6.01pm to 8am the following day,Charges same as weekdays,\$4.12/entry from 8am to 7.59am the following day
Eunos Technolink,"3 Kaki Bukit Road 1, S(415935)",\$1.07/hr from 8am to 5pm,\$1.07/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Peace Centre,"1 Sophia Road, S(228149)",\$1.39/30min from 7am to 7pm,\$1.50/30min from 7pm to 7am the following day,"\$1.39/30min from 7am to 7pm, \$4.28/entry from 7pm to 7am the following day",\$4.28/entry from 7am to 7am the following day
Pearl's Centre,"100 Eu Tong Sen Street, S(059812)",Carpark closed,Carpark closed,Carpark closed,Carpark closed
Peninsula Excelsior Hotel,"5 Coleman Street, S(179805)","\$3.00 for 1st hr, \$1.80 for next subsequent 30min from 8am to 5pm",\$4.00/entry from 5pm to 8am the following day,Charges same as weekdays,"\$1.50/hr from 8am to 5pm, \$4.00/entry from 5pm to 8am the following day"
Peninsula Hotel,"3 Coleman Street, S(179804)","\$2.60 for 1st hr, \$1.50 for next subsequent 30min from 8am to 5pm",\$3.00/entry from 5pm to 8am the following day,Charges same as weekdays,\$1.50/hr from 8am to 8am the following day
Market Street Car Park,"146 Market Street, S(048945)",Carpark closed,Carpark closed,Carpark closed,Carpark closed
Singapore Marriott Hotel,"320 Orchard Road, S(238865)","\$3.00 for 1st hr, \$0.05/min from 6am to 6pm","\$3.00 for 1st hr, \$0.05/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays
MAS Building,"10 Shenton Way, S(079117)",Season Parking Only,Season Parking Only,Season And Tenant Parking Only,Season And Tenant Parking Only
Mediacorp,"Andrew Road, S(299939)",\$1.07/hr up to a maximum charge of \$6.42/day from 7am to 6pm,\$2.14/entry from 6pm to 7.00am the following day,Charges same as weekdays,Charges same as weekdays
Merchant Square,"1 Angus Street, S(058275)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only
Mandarin Gallery,"330 Orchard Road, S(238867)","\$3.60 for 1st hr, \$0.06 for next subsequent min from 6am to 6pm","\$3.60 for 1st hr, \$0.04/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays
Midlink Plaza,"122 Middle Road, S(188973)",Carpark not in use,Carpark not in use,Carpark not in use,Carpark not in use
Midpoint Orchard,"220 Orchard Road, S(238852)",No Car Park,No Car Park,No Car Park,No Car Park
Millenia Walk (Surface Car Park),"9 Raffles Boulevard, S(039596)","\$4.40 for 1st hr, \$1.65 for subsequent 30min from 7am to 6pm","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 6pm to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day","\$4.40 for 1st 2hr, \$1.65 for subsequent hr from 7am to 7am the following day"
Miramar Hotel,"401 Havelock Road, S(169631)","\$2.68 for 1st hr, \$1.07 for next subsequent 30min from 7am to 5pm",\$3.75/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day
Mount Alvernia Hospital,"820 Thomson Road, S(574623)","\$2.40 for 1st hr, \$1.30 for next subsequent 30min from 7am to 10pm",\$5.00/entry from 10pm to 7am the following day,Charges same as weekdays,Charges same as weekdays
Mount Elizabeth Hospital,"3 Mount Elizabeth, S(228510)","\$2.50/30min from 6.30am to 8am, \$3.30/30min from 8am to 11am, \$3.00/30min from 11am to 6.30pm",\$4.00/entry from 6.30pm to 6.30am,Charges same as weekdays,\$4.00/entry from 6.30am to 6.30am the following day
Mustafa Centre,"145 Syed Alwi Road, S(207704)","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day","1st hr free, \$1.00 for next subsequent 30min from 7am to 7am the following day",Charges same as weekdays,Charges same as weekdays
Nanyang Academy Of Fine Arts (NAFA),"80 Bencoolen Street, S(189655)",\$2.40/hr from 8am to 9.59pm,\$2.40/hr from 10pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays
International Plaza,"10 Anson Road, S(079903)",\$2.20/30min from 7am to 5pm,\$3.00/entry from 5pm to 7am the following day,"\$2.20/30min from 7am to 3pm, \$3.00/entry after 3pm to 7am the following day",\$3.00/entry from 7am to 7am the following day
Jelita Cold Storage,"293 Holland Road, S(278628)","1st hr free, \$1.60/hr for next subsequent hr onwards","1st hr free, \$1.60/hr for next subsequent hr onwards",Charges same as weekdays,Charges same as weekdays
Joo Chiat Complex,"1 Joo Chiat Road, S(420001)",\$0.50/30min from 7am to 7pm,\$0.50/30min from 7pm to 10:30pm,Charges same as weekdays,Charges same as weekdays
Junction 8 (Basement Car Park),"9 Bishan Place, S(579837)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm the following day from Mon to Fri & Eve of PH","\$2.57/entry from 6pm to 11.59pm from Mon to Thurs, \$2.57/entry from 6pm to 2.59am the following day on Fri & Eve of PH","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm"
Junction 8 (Multi-Storey Car Park),"514 Bishan Street 13, S(570514)",\$0.60/30min from 7am to 9pm,\$0.60/30min from 9pm to 7am the following day,"\$0.60/30min from 7am to 3pm, \$0.60/30min from 3pm to 7am the following day",\$0.60/30min from 7am to 7am the following day
JCube,"2 Jurong East Central 1, S(609731)","\$1.30 for 1st hr, \$0.40 for next subsequent 15min from 3.30am to 5.59pm",\$2.50/entry from 6pm to 3.29am the following day,Charges same as weekdays,Charges same as weekdays
Jurong Point Shopping Centre,"1 Jurong West Central 2, S(648886)","\$1.07 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 5pm","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 5pm to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day","\$2.14 for 1st 2hr, \$1.07 for next subsequent hr from 7am to 9pm, \$1.07 for 1st 3hr, \$1.07 for next subsequent hr from 9pm to 7am the following day"
KK Women's and Children's Hospital ,"100 Bukit Timah Road, S(229899)",\$0.047/min from 6am to 6pm,\$2.40/entry from 6pm to 6am the following day,\$2.40/entry from 6am to 12midnight,\$2.40/entry from 6am to 12midnight
112 Katong,"112 East Coast Road, S(428802)","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min, (10am-5.59pm) \$1.07 for 1st hr, \$0.27 for subsequent 15min","(6pm-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min, (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min","(6am-9.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min (10am-10.59pm) \$1.28 for 1st 30min, \$0.65 for subsequent 15min (11pm-5.59am) \$0.54 for 1st hr, \$0.16 for subsequent 15min"
Katong Plaza,"1 Brooke Road, S(429979)","\$1.50 for 1st hr, \$0.80 for next subsequent 30min from 6am to 6pm","\$1.00 for 1st hr, \$0.50 for next subsequent 30min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays
Katong Shopping Centre,"865 Mountbatten Road, S(437844)",\$1.45/hr from 7.01am to 6pm,\$2.50/entry from 6.01pm to 7am the following day,Charges same as weekdays,\$2.50/entry from 7.01am to 7am the following day
Enterprise One,"1 Kaki Bukit Road 1, S(415934)","30min free, \$0.70 for next subsequent 30min","30min free, \$0.70 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays
Keppel Towers,"10 Hoe Chiang Road, S(089315)",\$3.00/hr from 8am to 5pm,\$3.00/hr from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Keypoint,"371 Beach Road, S(199597)",Carpark closed,Carpark closed,Carpark closed,Carpark closed
Kwong Wai Shui Hospital,"705 Serangoon Road, S(328127)",Free Parking,Free Parking,Free Parking,Free Parking
Concorde Hotel Singapore,"100 Orchard Road, S(238840)","\$2.14 for 1st hr, \$1.39 for next subsequent 30min from 7am to 6pm",\$3.75/entry from 6pm to 7am the following day,Charges same as weekdays,\$3.75/entry from 7am to 7am the following day
Liang Court,"177 River Valley Road, S(179030)",\$1.28/hr from 7am to 6pm,\$3.21/entry 6.01pm to 6.59am the following day,\$3.21/entry from 6am to 6am the following day,\$3.21/entry from 6am to 6am the following day
Liat Towers,"541 Orchard Road, S(238881)","\$2.50 for 1st hr, \$1.30 for next subsequent 30min from 7am to 6pm",\$3.80/entry from 6pm to 12midnight,Charges same as weekdays,Charges same as weekdays
Health Promotion Board,"3 Second Hospital Avenue, S(168937)",\$0.036/min from 7am to 10pm,\$2.14/entry from 10pm to 7am the following day,Charges same as weekdays,"\$0.018/min from 7am to 10pm, \$2.14/entry from 10pm to 7am the following day"
Lippo Centre,"78 Shenton Way, S(079120)",Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only
Lot One,"21 Choa Chu Kang Avenue 4, S(689812)","\$1.28 for 1st hr, \$0.43 for next subsequent 15min from 12midnight to 5.59pm",\$2.57/entry from 6pm to 2.59am the following day,"\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 2.59am the following day","\$2.57 for 1st 2hr, \$0.43 for next subsequent 15min from 3am to 5.59pm, \$2.57/entry from 6pm to 11.59pm"
Loyang Point,"258 Pasir Ris Street 21, S(510258)",\$0.50/30min from 7am to 5pm,"\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,\$1.00/entry from 7am to 7am the following day
Lucky Plaza,"304 Orchard Road, S(238863)","\$1.93 for 1st hr, \$1.28 for next subsequent 30min from 7am to 4.59pm",\$3.38/entry from 5pm to 6.59am the following day,Charges same as Weekdays,"\$1.93 for 1st hr, \$1.28 for next subsequent 30min from 7am to 9.59pm. \$3.38/entry from 10pm to 6.69am on Sunday, \$4.00/entry from 7am to 6.59am the following day on Public Holiday"
Grand Hyatt Singapore,"10 Scotts Road, S(228211)","\$3.21 for 1st hr, \$1.07 for next subsequent 30min from 4am to 4.59pm",\$5.35/entry from 5pm to 3.59am the following day,Charges same as weekdays,\$5.35/entry from 4am to 3.59am the following day
Grand Mercure Roxy Hotel,"50 East Coast Road, S(428769)",\$1.60/hr from 6am to 6am the following day,\$1.60/hr from 6am to 6am the following day,Charges same as weekdays,Charges same as weekdays
Grand Park City Hall,"10 Coleman Street, S(179809)","\$3.28 for 1st hr, \$1.55 for next subsequent 30min from 8am to 5pm",\$5.35/entry from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays
Great Eastern @ Changi,"200 Changi Road, S(419734)",Private Car Park,Private Car Park,Private Car Park,Private Car Park
The Chevrons,"48 Boon Lay Way, S(609961)",\$1.00/hr from 7am to 4.59pm from Mon to Thurs,"\$2.00/entry from 5pm to 6.59am the following day from Mon to Thurs, \$3.00/entry from 5pm to 6.59am the following day on Fri","\$1.00/hr from 7am to 4.59pm, \$3.00/entry from 5pm to 6.59am the following day",\$2.00/entry from 7am to 6.59am the following day
Great World City,"1 Kim Seng Promenade, S(237994)",\$1.66/hr from 6.01am to 5pm,\$3.53/entry from 5.01pm to 6am the following day,\$1.77/hr up to a maximum cap of \$6.00/entry from 6.01am to 6am the following day,\$1.77/hr up to a maximum cap of \$6.00/entry from 6.01am to 6am the following day
Greenridge Shopping Centre,"524A Jelapang Road, S(671524)","\$0.60/30min from 7am to 12pm, free parking from 12pm to 2pm, \$0.60/30min from 2pm to 5pm","\$1.00/entry from 5pm to 12midnight, \$2.00/entry from 12midnight to 7am the following day",Charges same as weekdays,\$1.00/entry from 7am to 7am the following day
Guthrie House,"1 Fifth Avenue, S(268802)","\$0.02/min from 8am to 12pm \$0.02/min from 2pm to 6pm for the 1st 30min, \$0.05/min thereafter. \$0.08/min from 12pm to 2pm",\$0.06/min up to a maximum charge of \$3.60 from 6pm to 8am the following day,"\$0.04/min for 1st 30min, \$0.02/min for next subsequent min",\$2.00/entry from 8am to 8am the following day
HarbourFront Centre,"1 Maritime Square, S(099253)","\$1.40 for 1st hr, \$0.70 for next subsequent 30min from 7am to 6pm","\$2.60/entry from 6pm to 1am the following day, \$2.04/hour from 1am to 7am the following day",Charges Same as Weekdays,Charges Same as Weekdays
HDB Hub (Toa Payoh),"480 Toa Payoh Lorong 6, S(310480)",HDB / URA parking rates from 7am to 6pm,"\$1.50/entry from 6pm to 10.30pm, \$5.00/entry from 10.30pm to 7am the following day",Charges same as weekdays,"\$1.50/entry from 7am to 10.30pm, \$5.00/entry from 10.30pm to 7am the following day"
High Street Centre,"1 North Bridge Road, S(179094)",\$3.21/hr from 7am to 5pm,\$3.21/entry from 5pm to 7am the following day,Charges same as weekdays,\$3.21/entry from 7am to 7am the following day
Hilton Hotel,"581 Orchard Road, S(238883)","\$7.00 for 1st hr, \$3.50 for next subsequent 30min from 7am to 6pm",\$7.00/entry from 6pm to 7am the following day,Charges same as weekdays,\$7.00/entry from 7am to 7am the following day
Hitachi Tower / Caltex House,"16 Collyer Quay, S(049318)",\$3.00/30min from 7.30am to 6.29pm,\$3.50/entry from 6.30pm to 7.29am the following day,"\$2.75/30min from 7.30am to 12.59pm, 3.30/entry from 1pm to 7.29am the following day",\$3.50/entry from 7.30am to 7.29am the following day
Lumiere,"2 Mistri Road, S(079624)",\$2.50/hr from 12 midnight to 6pm,\$3.00/entry from 6pm to 12midnight,"Charges same as weekdays, but \$3.00/entry after 1pm",\$3.00/entry
